Time of Incident,Latitude,Longitude
3,24.91315,67.09651
0,24.90466,67.1136
2,24.90677,67.08339
3,24.91768,67.09713
3,24.94962,67.09152
0,24.93334,67.07994
3,24.90207,67.02858
3,24.90512,67.02784
0,24.91158,67.03082
0,24.99541,67.06953
3,24.7506,67.08676
2,24.827622,67.03747
2,24.79027,67.04388
2,24.83383,67.03367
1,24.88184,67.03666
3,25.02524,67.06119
0,24.88456,67.17535
3,24.99579,67.15753
3,24.86971,67.36444
3,25.00755,67.08938
2,24.87935,67.17499
2,24.88489,67.16528
0,24.82589,67.15213
3,24.84663,67.16004
0,24.87753,67.17673
0,24.9409,67.00019
0,24.89399,66.98983
1,24.91768,67.09713
0,24.92956,67.11603
3,24.90143,67.11561
2,24.95384,67.0582
3,24.91794,67.05869
3,24.99172,67.06325
2,24.87321,67.03737
3,24.85674,67.01633
0,24.85559,67.02826
0,24.83682,67.26171
0,24.87178,67.19736
0,24.88446,67.17161
1,24.88338,67.16116
3,24.82317,67.10752
0,24.92748,66.97796
3,24.9734,66.99202
0,24.99505,67.09734
2,24.93271,66.94019
0,24.9325,67.01499
0,24.91973,67.00263
